pKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD
a2a876d8-a139-4880-8884-814afb24f790,1/26/2011 12:00:00 AM,1/26/2011 12:00:00 AM,25083228630000,25,83,"EOG Resources, Inc.",Ruffatto 03-3130H,47.955618,-104.92615,NAD27,,,,Montana,Richland,1,False,False,,
e1c6c3f6-c37d-411b-be8a-3bb3db429b4c,2/3/2011 12:00:00 AM,2/3/2011 12:00:00 AM,25083228660000,25,83,Statoil Oil & Gas LP,Johnson 30-19 #1H,47.581162,-104.084185,NAD83,,,,Montana,Richland,1,False,False,,
25c0dd0d-87ee-43c6-8ab9-5a373aab94db,2/8/2011 12:00:00 AM,2/8/2011 12:00:00 AM,25083228500000,25,83,XTO Energy/ExxonMobil,Thiel 11X-12,47.685967,-104.096764,NAD83,,,,Montana,Richland,1,False,False,,
10f52073-fdaf-41cb-8d07-0e4cb984eb35,5/9/2011 12:00:00 AM,5/9/2011 12:00:00 AM,25083228540000,25,83,XTO Energy/ExxonMobil,Witt 13X-25,47.724986,-104.226783,NAD83,,,,Montana,Richland,1,False,False,,
5beb2ac5-934e-426c-a674-ab7cd1c599b0,6/17/2011 12:00:00 AM,6/17/2011 12:00:00 AM,25083228690000,25,83,Statoil Oil & Gas LP,Storvik 7-6 #1H,48.015014,-104.140961,NAD83,,,,Montana,Richland,1,False,False,,
18e9882f-d61b-4b9a-8a6c-a2f1b9838dd0,6/30/2011 12:00:00 AM,6/30/2011 12:00:00 AM,25035221590000,25,35,Newfield Exploration,Tribal Sacred Pipe 1-21,48.782194,-112.786611,NAD83,,,,Montana,Glacier,1,False,False,,
99d576b7-dae6-46f5-9a90-27487cba5613,7/6/2011 12:00:00 AM,7/6/2011 12:00:00 AM,25085217670000,25,85,"EOG Resources, Inc.",Stateline 05-1003H,48.188016,-104.07553,NAD27,,,,Montana,Roosevelt,1,False,False,,
9a2a7785-42e2-4f93-86dc-d61715526f26,7/12/2011 12:00:00 AM,7/12/2011 12:00:00 AM,25091218780000,25,91,"TAQA North USA, Inc.",KROWEN 23-12H,48.942553,-104.177731,WGS84,,,,Montana,Sheridan,1,False,False,,
84055506-ab03-4242-81d8-009816ec41b1,7/21/2011 12:00:00 AM,7/21/2011 12:00:00 AM,25083228700000,25,83,XTO Energy/ExxonMobil,Thiel 2 11X-12,47.686258,-104.096336,NAD83,,,,Montana,Richland,1,False,False,,
19dae3b8-b8db-4c99-93ac-3ccde7f63b1d,7/29/2011 12:00:00 AM,7/29/2011 12:00:00 AM,25035221670000,25,35,Newfield Exploration,Tribal Rumney 1-21H,48.944153,-113.041272,NAD83,,,,Montana,Glacier,1,False,False,,
103e92be-628d-46ac-9315-61b6cd926c83,8/1/2011 12:00:00 AM,8/1/2011 12:00:00 AM,25035221290000,25,35,Newfield Exploration,Peacemaker 1-5H,48.655472,-112.426278,NAD83,,,,Montana,Glacier,1,False,False,,
e1303f65-28be-410d-a69c-d21287524cd4,8/1/2011 12:00:00 AM,8/1/2011 12:00:00 AM,25091218800000,25,91,"TAQA North USA, Inc.",TAQA HELLEGAARD 8-8H,48.977753,-104.223653,WGS84,,,,Montana,Sheridan,1,False,False,,
7a47eca6-5a98-42dd-97fd-e76b1ad432c5,8/3/2011 12:00:00 AM,8/3/2011 12:00:00 AM,25035221630000,25,35,Newfield Exploration,Tribal Buffalo Jump 1-28H,48.768386,-113.041272,NAD83,,,,Montana,Glacier,1,False,False,,
