API_WellNo,OpNo,CoName,Well_Nm,Well_Typ,Type,Wl_Status,Status,Wh_Sec,Wh_Twpn,Wh_Twpd,Wh_RngN,Wh_RngD,Wh_Qtr,Wh_FtNS,Wh_Ns,Wh_FtEW,Wh_EW,Slant,Reg_Field_No,Reg_Field,Stat_Field_No,Stat_Field,Dt_APD,Dt_Cmp,Elev_KB,DTD
25025225200000,664,"Denbury Onshore, LLC",Little Beaver East  23-22H,OIL,Oil,SI,Shut In,22,5,N,61,E, NE SW,1872.0,S,2482.0,W,H,5420,"Little Beaver, East",5420,"Little Beaver, East",2005-04-12 00:00:00,2006-01-27 00:00:00,2989.0,11250.0
25083223110000,580,XTO Energy Inc.,Daniels  33X-2,OIL,Oil,SI,Shut In,2,24,N,56,E,  SE,400.0,N,1520.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2005-06-07 00:00:00,2006-01-23 00:00:00,2512.0,20573.0
25025217980000,664,"Denbury Onshore, LLC",ELOB     43-24NH,EOR,"Injection, EOR",IA,Active Injection,24,7,N,60,E, NE SE,2440.0,S,250.0,E,H,5708,"Lookout Butte, East, Unit",5708,"Lookout Butte, East, Unit",1998-11-24 00:00:00,1999-01-09 00:00:00,3149.0,15480.0
25083222660000,580,XTO Energy Inc.,Vaira  11X-15,OIL,Oil,PR,Producing,15,25,N,54,E, NW NW,300.0,N,300.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2005-01-30 00:00:00,2006-06-26 00:00:00,2331.0,15576.0
25091218940000,692,"Sagebrush Resources II, LLC",SBR  1-36H,OIL,Oil,AX,P&A - Approved,36,35,N,51,E, NW SE,1830.0,S,1979.0,E,H,7550,Redstone,7550,Redstone,2011-10-05 00:00:00,2011-11-20 00:00:00,2436.0,12113.0
25083223720000,536,Ovintiv USA Inc.,Anvik  1-12H,OIL,Oil,PR,Producing,12,22,N,57,E, SE SE,250.0,S,240.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2005-10-04 00:00:00,2006-03-16 00:00:00,2251.0,14655.0
25083226770000,118,Enerplus Resources USA Corporation,Flik-Pluto  14-15HID3,OIL,Oil,PR,Producing,14,25,N,53,E, SW SE,265.0,S,1997.0,E,H,11083,Elm Coulee,2930,Elm Coulee,2007-07-27 00:00:00,2007-09-06 00:00:00,2283.0,13743.0
25083231460000,1550,Continental Resources Inc,Levengood  4-5H,OIL,Oil,SI,Shut In,5,23,N,53,E, NW NW,230.0,N,1319.0,W,H,11083,Elm Coulee,2930,Elm Coulee,2013-04-29 00:00:00,2013-08-23 00:00:00,2303.0,13887.0
25083233160000,404,Whiting Oil and Gas Corporation,Buxbaum  21-5-2H,OIL,Oil,PR,Producing,5,24,N,60,E, NE NW,260.0,N,1730.0,W,H,11083,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2014-10-09 00:00:00,2015-02-10 00:00:00,1983.0,21780.0
25085218780000,533,Oasis Petroleum North America LLC,Justice Federal 2759  44-11T,OIL,Oil,PR,Producing,11,27,N,59,E, SE SE,150.0,S,475.0,E,H,11085,"Elm Coulee, Northeast",2933,"Elm Coulee, Northeast",2012-08-20 00:00:00,2012-12-19 00:00:00,2217.0,20400.0
